eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
7,34,29,709198,16764253,78628,72310,16770228,54166,25770,6138,Tag0
22,66,27,19616,6699,4128,6553,6166,28992,9741,6490,Tag0
41,80,27,7146,22561,1239,5920,10011,14246,18528,7044,Tag0
28,100,11,7462,6372,1584,8288,6875,15697,9573,5123,Tag0
8,100,8,2626,8141,2303,11130,3089,13020,10582,13442,Tag0
32,91,10,4284,21967,7896,5096,6552,20114,13669,2219,Tag0
20,96,29,10150,2948,6159,2074,8580,7577,8412,5365,Tag0
-279,90,17,3925,14577,2184,2920,6004,9467,14450,5498,Tag0
-257,100,4,9380,3769,8718,3173,6821,30168,5058,4444,Tag0
-264,80,23,85050,16774289,16758519,16752036,16753920,14432,10322,2699,Tag0
73,74,4,206154,16750134,10019,2350,16136,18749,17908,11268,Tag0
43,66,44,3376,4849,11559,26595,5884,12811,10274,13564,Tag0
-285,57,50,22845,9235,7988,6986,11854,20362,7797,5559,Tag0
19,74,50,19220,19622,26364,6502,8056,22390,11368,6764,Tag0
70,81,57,10397,10928,4132,5945,7641,16329,15418,22367,Tag0
19,75,16,408174,16774887,7345,5188,13856,12080,14828,9152,Tag0
36,70,17,8981,12588,9729,4158,3440,17540,22128,8466,Tag0
-275,83,1,7404,17515,1491,1690,1326,24866,15190,7035,Tag0
64,74,17,1807,11903,14659,26240,9774,16658,5712,4373,Tag0
-258,80,43,2143,14592,11265,3812,5269,7866,24482,11155,Tag0
43,75,47,9174,27445,10856,13208,14310,20950,17284,6089,Tag0
26,64,69,30161,20726,3513,22589,13304,20152,15521,6910,Tag0
61,64,54,21795,20684,5639,12101,10594,14876,19046,5981,Tag0
21,67,60,4484,8187,5423,23830,18468,13616,8546,4501,Tag0
18,69,69,3495,11443,21218,8268,9831,22665,9498,4933,Tag0
-265,63,66,16751415,16757803,24947,3941,11235,17340,18870,15096,Tag0
59,66,66,16252,13536,7762,11335,17476,19381,10194,8453,Tag0
35,64,56,433854,16768855,17880,13519,12189,23124,8958,12284,Tag0
73,53,41,42344,94246,5784,27334,28553,23530,21563,3828,Tag0
65,60,40,19959,20706,4600,11199,14467,16298,12251,7892,Tag0
53,64,38,4932,8454,1032,12211,13403,17395,19944,6076,Tag0
8,53,20,210201,109390,10879,12526,16749336,17597,21610,5968,Tag0
70,64,29,4206,8319,6892,11225,8968,15972,11738,7540,Tag0
74,75,27,5755,7378,6559,3624,5980,21468,10439,3040,Tag0
41,43,30,134574,16759580,13405,11189,3991,2932,4607,2957,Tag0
54,67,54,16755064,15031,16697,10160,7812,16748485,13054,8965,Tag0
75,70,50,2500,9020,4234,9580,4616,17263,6648,2468,Tag0
32,57,48,5960,16744339,4360,15877,31026,15962,10980,28911,Tag0
-359,87,38,8273,26727,6176,8304,8410,26803,17933,4493,Tag0
18,69,41,155972,9130,5601,5099,5551,3479,3252,2702,Tag0
74,48,23,17771,78430,323,11794,10962,8374,9208,2598,Tag0
4,41,38,13243,30594,15133,16745166,17843,13247,16747275,5884,Tag0
1,34,48,16813,16758449,22230,11600,5851,22951,15363,4655,Tag0
32,34,53,390170,30246,15782,16752903,28725,13653,10822,4884,Tag0
45,40,75,17942,26637,4152,28421,17364,12179,27887,7914,Tag0
50,34,60,379634,90273,20351,13127,31709,11437,16349,5727,Tag0
114,30,69,15554,14784,22029,9887,9063,11909,9674,4597,Tag0
26,41,56,9071,16750063,14944,11625,20271,29942,13968,4412,Tag0
3,48,63,16763055,27904,16750185,25707,9636,16746164,8743,7890,Tag0
49,67,69,22744,10134,5872,7134,11419,13146,9162,2397,Tag0
72,63,53,16776309,76448,28586,15428,16748210,20785,12738,3017,Tag0
1,66,56,12114,15362,3161,10455,7192,16715,18830,4452,Tag0
-267,53,37,239595,16763281,3068,13134,17284,7935,26075,3626,Tag0
-168,63,37,8562,4620,162,31549,16747978,16758203,13809,4463,Tag0
0,70,30,34985,4385,2404,1385,9246,3288,3552,1858,Tag0
0,63,34,51885,16751850,5991,18353,6853,15439,6932,7087,Tag0
119,67,43,33647,16776179,31608,8771,8332,16266,13054,1415,Tag0
66,48,35,112578,47241,23095,13784,23826,31342,17680,6352,Tag0
-122,43,38,175296,16755847,6492,15992,13064,17362,30847,10330,Tag0
