eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
93,53,35,31139,16771950,5171,6733,6189,22892,20017,4675,Tag1
21,66,37,24588,22120,3774,9388,7149,21357,3519,6453,Tag1
49,66,47,16754276,16745910,15542,22524,25186,9748,1919,3261,Tag1
77,56,50,11630,16118,16222,7587,10888,9407,9595,7599,Tag1
21,60,66,18086,10293,9279,2719,6645,8700,15711,4483,Tag1
24,47,84,31150,11150,14177,12707,8225,6351,8259,2868,Tag1
7,50,93,26904,10035,8457,13992,4727,6377,4819,3837,Tag1
-262,48,100,4107,5745,5145,20577,7235,7507,3943,4619,Tag1
-277,40,97,189316,16750353,6126,11587,3892,9441,7098,2118,Tag1
39,41,80,183770,16776829,8386,14547,4214,15888,4466,2667,Tag1
12,44,63,4339,31219,2442,11082,4887,10814,7270,1919,Tag1
21,29,60,16760110,73053,16759211,16746294,11129,9811,4061,2306,Tag1
72,24,54,313652,68166,6575,14868,5861,8151,2209,2547,Tag1
104,20,60,379303,16751758,10308,10908,8580,7216,2744,9617,Tag1
-292,26,61,10651,13998,5773,3620,4375,9841,1526,1576,Tag1
66,43,61,16752378,3372,3224,8289,3820,5317,6420,6239,Tag1
67,44,67,24547,16752498,14745,10057,14857,7770,2576,1095,Tag1
25,44,63,123265,13622,1025,3906,1140,2068,493,211,Tag1
73,44,66,16762244,9342,3051,7731,5029,8593,12875,2600,Tag1
-257,50,53,16755170,8465,2016,10574,19120,10245,3858,1431,Tag1
9,63,63,10537,5920,13596,1871,3656,9473,2718,2382,Tag1
86,53,66,85144,35943,26881,10296,10392,6314,7309,5619,Tag1
8,48,57,16770119,24205,12186,5224,31066,11454,4353,1487,Tag1
53,37,54,6726,22232,6854,3767,11976,5345,5742,5508,Tag1
65,24,51,11049,26950,28131,9049,22460,10470,4617,6439,Tag1
-146,35,63,16357,19144,5865,15827,4055,4964,1310,2931,Tag1
10,27,75,15923,16744541,22926,16579,15366,10015,5370,1441,Tag1
16,26,90,18766,14106,6868,15715,11009,5047,5411,1490,Tag1
24,14,78,128245,87326,10389,20046,19332,6272,4560,6863,Tag1
0,24,77,20925,16626,6164,16476,5156,12163,3477,782,Tag1
-275,40,78,10468,7657,10202,6014,6364,11149,5531,2165,Tag1
24,41,77,416164,16744790,4309,16746184,7597,13151,10072,1358,Tag1
22,48,83,16774031,30365,11629,6329,4499,4094,4606,1746,Tag1
18,37,87,26080,15846,14815,13217,9756,4362,2614,2207,Tag1
26,20,93,16756617,28410,16764275,8416,10589,8593,5565,2310,Tag1
48,26,93,30018,15622,16414,10489,5786,12220,5286,4642,Tag1
13,21,96,16754579,16756341,26795,11535,8659,5441,3890,2008,Tag1
51,17,97,18400,29636,23808,17215,6169,5395,8341,1809,Tag1
42,27,78,16750195,23686,2079,10177,7980,11020,1427,3196,Tag1
3,27,74,16744906,20666,10043,10503,11909,11299,7175,2188,Tag1
51,40,74,11360,11850,7748,4326,2695,4825,4684,1778,Tag1
69,47,64,189912,21121,10458,7144,5588,5287,5231,4659,Tag1
20,38,80,7349,14992,14585,12815,9312,5951,1834,1262,Tag1
-276,24,88,26063,16744948,30952,21064,12813,6947,3207,3349,Tag1
18,21,100,8613,9149,32056,21202,5053,9940,4276,1632,Tag1
23,13,94,485611,54407,29609,26958,3410,11040,4666,990,Tag1
8,16,88,27720,16749119,5545,16753228,17975,13708,4457,3902,Tag1
26,20,83,4852,17542,15191,4765,4243,4729,2384,2904,Tag1
103,16,41,224562,16767634,956,1234,7839,6234,1886,1098,Tag1
4,21,48,25964,25760,12145,5138,6447,4190,1451,1616,Tag1
-257,27,38,20215,16759212,8950,4872,16507,16425,3540,1361,Tag1
37,35,27,16766399,28403,2059,10045,12748,9133,4101,2001,Tag1
61,38,54,25526,19793,7002,6182,2642,4601,2220,889,Tag1
28,26,38,258625,169375,23477,5619,13473,10352,7742,1095,Tag1
-327,23,53,12080,19009,9249,13039,4749,8250,3070,2483,Tag1
8,11,67,23284,28311,23670,22176,10398,6369,8805,2440,Tag1
35,11,81,16753717,10395,19445,22812,10044,6996,3539,2644,Tag1
73,26,81,402269,16746520,3178,1770,3335,5969,6416,1853,Tag1
-258,23,75,26724,25057,1140,13762,6317,6136,3847,724,Tag1
