eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
-266,13,27,735390,16771134,6451,4606,2726,13385,8566,3729,Tag3
32,26,29,8645,16829,8095,7018,17193,18032,16747959,4992,Tag3
55,56,38,1803,8226,5976,5828,1889,23535,20847,6507,Tag3
16,67,41,5928,19867,4233,6710,2521,8984,5923,2223,Tag3
9,78,57,3386,2453,19907,6642,15065,15809,8743,7039,Tag3
106,74,57,13091,9631,4917,6772,19216,6649,10731,4237,Tag3
41,69,60,2033,11948,9377,7167,5774,25414,13285,5712,Tag3
-266,77,61,4248,8103,1041,8357,7699,10733,7570,3369,Tag3
17,75,56,5206,9144,1735,9323,4663,8551,7765,8299,Tag3
48,70,75,4833,4596,29551,4722,4086,7600,12037,9111,Tag3
43,63,84,2886,9421,21095,8393,3693,13616,11854,2806,Tag3
41,60,87,5473,11866,2156,7336,5470,9232,4330,4303,Tag3
22,63,87,3957,4347,10504,155,6214,9607,9464,3945,Tag3
65,74,75,6275,5650,9914,6675,10304,12322,6096,4178,Tag3
50,77,57,6340,11975,1177,3639,2590,8318,5171,2907,Tag3
17,80,56,6306,14060,5002,8570,13903,15364,9153,3442,Tag3
16,77,50,3026,18497,7353,4452,9682,13456,8472,4722,Tag3
-644,77,35,3604,17428,2371,3706,8128,13775,8116,2662,Tag3
23,50,38,16764521,211127,16764640,16746833,31268,8127,7266,7763,Tag3
59,27,40,491652,16756379,13541,7679,10189,3563,1954,862,Tag3
33,30,51,10927,2477,6655,13003,5791,15015,13638,4559,Tag3
21,24,61,4861,18399,16349,3598,14624,12475,13700,7867,Tag3
1,51,69,7011,4066,8543,5732,7604,8913,6764,10645,Tag3
44,75,61,2186,15862,6675,1655,22056,14452,13067,3448,Tag3
35,70,48,13145,31550,8174,6576,11607,20683,9163,3506,Tag3
32,78,30,4384,30304,2752,2478,9318,22962,13281,5145,Tag3
-269,83,34,4885,445,15968,2385,7708,16223,7352,3645,Tag3
6,83,41,724,7655,8866,3027,7992,13634,10592,8605,Tag3
-278,88,48,6944,5887,4743,4195,5993,10766,6791,11106,Tag3
-279,80,61,3324,17632,7515,4777,9267,8750,11403,5192,Tag3
25,88,41,2757,5975,818,2207,4692,20224,11073,5217,Tag3
-268,87,38,4279,9795,7033,3599,11604,12079,14116,4933,Tag3
-260,84,37,75668,15803,14034,6862,22989,20436,19574,5998,Tag3
36,88,44,4844,9040,6052,28573,21017,18262,10922,9388,Tag3
125,78,63,9246,3974,9073,12305,14469,16284,4376,10494,Tag3
183,81,66,7639,6689,6662,7099,14611,16124,9760,9808,Tag3
7,63,80,186397,143170,129185,16754534,19682,29065,11367,2355,Tag3
86,61,66,166548,16751383,6454,9526,8241,19538,11480,2895,Tag3
20,61,64,6350,8817,6495,10459,5907,17851,14653,3664,Tag3
8,63,64,3859,14263,6418,11844,7357,30849,8773,12204,Tag3
19,74,54,1317,8786,3789,6111,7287,5067,11631,6080,Tag3
42,78,47,4219,18521,1832,1905,5372,11603,12864,2728,Tag3
68,78,40,8777,13390,4634,5332,3985,15909,10265,4600,Tag3
39,83,37,4392,8284,11467,2528,9841,16746643,13451,4407,Tag3
-282,91,29,2987,6540,2390,3662,7100,9032,7346,5141,Tag3
4,66,30,394911,666280,16773146,15781,7360,27277,20758,5715,Tag3
-268,60,35,16761661,28924,17321,10064,25197,17192,14234,9674,Tag3
67,50,43,3906,11763,7108,13540,3575,17084,13915,4166,Tag3
-333,47,50,4487,10666,8190,4712,5080,11467,8343,8761,Tag3
117,53,57,269556,339639,16773312,16752434,19332,16750675,5610,3442,Tag3
43,57,61,22109,16758,22656,3565,6772,23259,11167,1711,Tag3
20,54,60,12376,17476,9838,6388,10337,11604,12469,11956,Tag3
36,63,47,17369,21076,2336,5339,10312,16745440,15504,3529,Tag3
34,80,60,3341,7808,26063,12066,2626,26208,17940,9926,Tag3
82,83,54,3440,7769,8645,3003,10767,15718,11952,7171,Tag3
11,83,56,4244,7330,10995,7911,14996,8524,10947,3857,Tag3
29,69,77,11800,4988,18149,14377,31053,11603,7083,8910,Tag3
5,74,61,6374,13966,1893,8450,8316,16201,14060,9845,Tag3
83,61,80,4609,4668,30870,2835,5945,9675,3481,6128,Tag3
