eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
32,1,35,208162,213793,39079,30200,19841,10389,2139,4687,Tag2
-308,11,48,453949,16749321,7707,18380,18505,7773,8079,2210,Tag2
40,21,53,16394,18304,24256,6128,2607,8674,6078,3462,Tag2
-260,51,66,14484,3593,1386,11139,4876,6266,3618,1619,Tag2
-289,75,64,4894,2527,4286,2791,6010,5589,7689,2902,Tag2
-270,88,64,12122,9693,5376,2650,2495,10508,7359,1530,Tag2
51,88,57,5513,13995,9133,5343,7653,6128,5408,543,Tag2
-257,88,56,5453,3771,3790,3923,1906,4077,7020,2716,Tag2
-274,74,57,244018,16762266,30290,9775,5363,6662,9621,2579,Tag2
50,66,77,1604,2775,18702,12890,4970,8078,3229,2748,Tag2
51,69,81,7602,8789,15622,3817,3794,8198,1633,2641,Tag2
4,66,78,3482,7105,11354,1679,9755,5098,2469,1596,Tag2
6,74,83,2263,14144,18140,4181,4036,6517,2566,1396,Tag2
18,67,67,6747,10906,2537,4951,6190,2615,3671,4861,Tag2
34,74,66,12395,3600,10293,3284,4569,9128,3193,2049,Tag2
89,77,67,5161,5068,7256,4915,2209,8010,3339,2760,Tag2
52,87,60,8465,3437,1358,2911,2036,4482,3883,2140,Tag2
39,87,61,5519,17323,8231,2968,1504,3839,3370,1875,Tag2
-274,75,63,1861,14175,5615,11293,3450,4249,4335,1307,Tag2
23,74,67,4929,2492,7823,7230,3168,5865,3586,2083,Tag2
72,69,75,6785,4664,7211,3509,1864,6960,8449,1466,Tag2
72,77,81,3193,3551,9028,5176,3681,5030,7424,3695,Tag2
34,81,81,1385,5887,9145,986,3578,4089,2737,2585,Tag2
9,78,67,1882,18386,5461,5215,2343,5737,5335,1862,Tag2
35,78,57,2581,5109,282,4658,6963,4695,2471,2342,Tag2
12,77,60,2241,3292,3357,11622,3994,5009,3970,1119,Tag2
36,74,60,826,9504,4446,8265,2088,3188,1132,2026,Tag2
-282,77,51,5744,13628,1802,1415,4983,5646,2431,1015,Tag2
19,78,48,16746464,14052,4589,191,1963,10216,4925,2547,Tag2
57,88,37,24495,5521,951,5979,3140,10811,4794,1269,Tag2
39,100,27,5447,2372,5199,2341,8097,8254,5113,1487,Tag2
38,100,44,2374,4473,10405,2731,3646,8150,4354,1092,Tag2
4,96,64,5186,4572,14437,8373,6005,4608,2286,2893,Tag2
73,83,60,117771,16752514,10712,5474,16140,8625,2350,1750,Tag2
40,70,66,10065,6307,1859,6134,3252,2972,3033,2049,Tag2
45,63,60,11173,11378,5385,1329,2718,3548,1480,964,Tag2
-108,67,53,21202,9800,6392,12007,9371,8104,3906,3233,Tag2
-51,53,37,304864,110912,3962,4922,6179,3833,7330,3087,Tag2
33,51,30,545765,95546,16753403,8443,15871,27996,14391,3442,Tag2
66,51,38,69186,16746938,30104,7701,5452,12998,4727,3702,Tag2
11,40,29,1813669,109695,5489,16770101,22465,18227,10323,3840,Tag2
3,56,47,1187,26964,4690,4847,5130,6322,2628,4322,Tag2
49,63,54,5272,6811,13889,3093,3908,9417,4226,2250,Tag2
54,70,47,5809,9160,4831,1199,3944,8357,4986,2149,Tag2
25,91,47,9884,6004,3857,2371,4114,9940,6122,2803,Tag2
35,93,66,1805,4104,9042,8391,1598,4155,3051,1658,Tag2
24,90,63,11526,5332,10110,2078,7127,5373,2735,1786,Tag2
65,84,57,4040,21546,5224,442,1344,8478,3967,1605,Tag2
32,78,53,4060,14718,2955,2910,7235,6759,2174,1711,Tag2
22,84,41,7641,5790,3641,6124,3938,7600,3350,653,Tag2
41,80,37,6701,14949,5651,1438,3031,3374,5081,1163,Tag2
66,83,48,1597,7082,5102,5106,2788,8218,1279,3432,Tag2
34,83,64,5539,3483,1102,11403,1682,6007,1991,1376,Tag2
26,78,60,2892,12438,3347,3476,2231,5464,2677,1780,Tag2
40,81,77,3293,1259,13897,2738,3346,4012,5133,2118,Tag2
25,74,88,8436,5224,10353,16542,5364,5904,2051,470,Tag2
-257,75,78,3508,6089,5770,605,2198,4821,6208,1280,Tag2
75,81,88,1857,2420,3680,4968,2174,6065,4059,2013,Tag2
38,83,83,5275,2709,8543,2490,1520,4607,2535,2209,Tag2
