eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
-269,97,56,25929,11056,4940,6220,5831,7470,5409,2776,Tag0
21,100,50,6209,13361,9573,4399,2091,11743,5177,1551,Tag0
36,100,53,4265,3473,2603,3850,4612,4149,4709,3072,Tag0
43,100,56,3136,14273,4154,4627,760,8238,3688,739,Tag0
26,100,47,6744,6477,1649,1558,956,7828,2222,1425,Tag0
3,88,37,583861,47360,15648,14286,2981,3539,6984,652,Tag0
25,80,38,25486,5779,4685,4954,3718,6489,1957,1870,Tag0
21,75,40,2631,4961,2048,2785,2962,3961,2497,3552,Tag0
37,64,54,5201,5659,6938,1603,4493,4620,3168,3847,Tag0
27,84,74,6736,4076,2946,5365,2653,1816,6174,1746,Tag0
19,81,67,2832,4509,1398,2766,3925,2486,4846,1730,Tag0
23,61,56,175800,47680,19684,3178,682,9218,4935,1920,Tag0
10,56,56,41374,21103,15536,4155,3145,10486,2934,2070,Tag0
61,77,48,3272,3566,4873,2511,2072,8210,4813,3887,Tag0
17,81,47,7508,6769,1187,5681,6287,6873,11985,1506,Tag0
68,93,37,6499,23117,1396,1189,2500,4783,8559,3808,Tag0
10,94,34,3280,15575,4222,9283,8115,7803,4588,1634,Tag0
29,96,30,4922,4064,7721,3969,1618,16956,6300,3693,Tag0
4,87,47,2730,4940,4230,20644,12498,6587,3290,2871,Tag0
35,100,54,3246,7024,848,2405,3966,8824,4735,2472,Tag0
41,100,69,2470,1684,7265,14345,5772,7734,5824,4639,Tag0
32,93,69,4978,4476,3019,5031,7910,5369,2096,2304,Tag0
43,100,56,3767,8494,5424,7711,6688,16450,1640,1873,Tag0
-151,91,75,8679,12974,10547,1758,1583,4745,1585,2201,Tag0
27,78,57,205280,81224,14590,17778,3901,13090,3797,6445,Tag0
2,78,50,14980,7227,397,4673,6615,4909,9762,3081,Tag0
-275,66,64,12119,4399,6883,17630,7403,9086,6288,1956,Tag0
17,75,60,8647,12862,3400,10136,6104,10761,4522,3215,Tag0
10,91,66,1411,8392,2517,12279,6671,12994,4017,3086,Tag0
35,94,70,4344,9365,2781,7393,4895,10694,3466,5969,Tag0
43,100,66,1131,2471,10693,1939,3332,8648,2427,3201,Tag0
34,78,70,176503,73883,17303,16749875,6191,5596,1701,8391,Tag0
50,80,74,14343,6478,4150,7839,1380,11947,4194,3312,Tag0
7,77,61,25384,14891,3029,1391,3585,9034,3434,2872,Tag0
34,78,56,5356,9045,6561,13155,4504,16962,3771,9596,Tag0
44,100,56,6964,13604,15472,1556,4511,9563,7532,7465,Tag0
81,100,51,6609,4103,4714,8496,4111,20899,4789,1269,Tag0
43,100,63,7923,4308,3774,3818,6532,7568,1419,3931,Tag0
16,100,51,5475,10359,6932,1692,1253,24400,3858,3870,Tag0
19,100,47,17498,11910,8864,4365,5379,14392,5253,2226,Tag0
28,100,38,8130,10989,890,4444,3145,8166,7875,3047,Tag0
-165,100,43,6666,6967,24625,3036,10826,24471,3583,4266,Tag0
-262,87,35,16771722,78988,5299,6256,4643,12000,7177,2370,Tag0
32,93,23,7452,5295,1790,4027,13557,16660,9259,1714,Tag0
7,93,34,6422,8367,10257,2329,4388,12038,11903,1913,Tag0
-267,88,43,2470,1533,22434,10750,6932,16193,4951,7768,Tag0
59,100,48,7503,5979,227,3304,3673,14963,3320,3528,Tag0
71,94,75,3943,2084,2036,12773,4062,4599,3551,4206,Tag0
-266,94,77,9800,13133,14685,4437,1228,19534,3813,1594,Tag0
21,100,41,2404,5325,1205,485,3858,12186,6529,1195,Tag0
-83,90,43,75850,30976,2783,5911,4345,10941,8181,3087,Tag0
44,80,29,550412,16773430,30011,8334,4677,9438,2528,2166,Tag0
22,74,20,506,15146,3243,3672,7030,6022,3382,1274,Tag0
41,53,38,3119,21685,11338,2844,3579,6805,8351,3925,Tag0
40,57,54,1268,5581,9045,4920,6975,8603,9234,3729,Tag0
43,74,57,6451,5352,9693,4794,8605,8103,6067,1373,Tag0
6,77,67,6435,8662,11943,2121,3576,11092,4652,2273,Tag0
24,88,66,10519,6642,4256,4086,9844,9800,3539,1613,Tag0
48,100,56,18712,1779,883,3025,3661,8834,2515,4736,Tag0
