eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
-475,21,48,241635,132889,16773763,9935,16747096,12908,3123,572,Tag1
370,26,50,984462,164528,27521,16768510,71340,16749014,10589,4501,Tag1
85,27,16,159945,16761944,2976,2549,3123,8074,4192,2754,Tag1
36,54,27,11393,7360,3562,4150,3325,7266,6423,4422,Tag1
69,61,35,8940,2001,1077,10113,4906,5796,4260,2298,Tag1
38,74,54,6533,3665,6889,13507,6107,9290,7791,1335,Tag1
38,90,70,1450,6357,3289,2504,5284,9507,2175,1351,Tag1
37,63,61,75028,142652,26465,4641,3279,5485,6321,2082,Tag1
24,67,57,7735,2121,1322,10687,5583,9622,6249,3418,Tag1
-301,74,35,1717,9071,1784,2445,4132,9379,4034,2958,Tag1
0,63,24,5064,9944,438,2157,8222,3366,6447,1012,Tag1
61,91,30,4077,5812,4202,762,3555,6412,2619,2503,Tag1
35,88,24,2951,7812,2950,3798,3290,7233,4371,4870,Tag1
39,94,24,6206,4057,16777173,3383,1574,10240,2239,3433,Tag1
28,78,54,15057,16559,14849,16529,7911,2685,4230,7119,Tag1
22,61,43,107032,16773460,6857,3568,6582,6719,7581,2268,Tag1
25,57,56,7518,3005,1935,10614,2027,5804,3120,5471,Tag1
18,47,43,6737,17567,735,1442,2819,9241,3247,966,Tag1
58,74,30,5036,2334,7771,1361,6083,8778,5881,1640,Tag1
55,83,54,3230,5539,4034,6005,4111,4367,3000,1180,Tag1
45,84,34,8186,15943,4777,1276,4388,8565,4053,4933,Tag1
36,83,43,4889,16629,4387,2652,15199,8107,3007,2884,Tag1
21,48,17,342451,111662,3665,6199,3734,3330,3789,2923,Tag1
54,63,8,11611,2770,1640,3267,4722,9761,3535,2228,Tag1
18,63,14,5914,18045,6088,3701,5261,9669,2981,3001,Tag1
38,66,30,6832,1764,5851,2896,7368,5314,3738,1265,Tag1
51,90,44,2635,19048,453,3602,3746,4711,4500,1434,Tag1
32,75,48,14482,6554,6692,718,6015,3960,4440,5526,Tag1
35,75,60,5955,3775,3922,5987,4291,4791,3006,4965,Tag1
44,80,60,11862,1953,2177,6444,4182,8249,3829,4506,Tag1
21,70,48,233699,131706,5116,3321,15013,12416,11046,3352,Tag1
-265,74,41,22466,16827,5870,3442,13260,9031,4623,2320,Tag1
26,69,43,6602,5212,19451,1921,13953,6446,7163,4427,Tag1
21,70,30,6441,5513,1509,2705,4492,11949,5804,2280,Tag1
20,83,50,4723,11223,1184,5525,7825,5990,3991,2512,Tag1
18,87,48,10952,13049,1095,4928,7822,8191,3080,10754,Tag1
66,93,44,5533,4359,1550,8093,3586,6408,4361,6085,Tag1
112,54,38,1194269,592450,16751476,16748309,16763198,13934,13757,15928,Tag1
81,51,43,308195,16757107,24025,8095,5615,15352,27920,5778,Tag1
41,41,69,8961,3790,16751304,2155,1582,6940,1812,3082,Tag1
53,34,77,4267,1669,16745472,6949,9901,8491,3758,3641,Tag1
20,57,91,8988,11013,8079,3073,3304,5972,689,2439,Tag1
26,74,87,5194,5143,4084,3077,2722,11498,5728,1260,Tag1
22,74,78,6654,8337,13784,9633,751,5486,5293,5808,Tag1
12,80,64,22808,15347,12008,2823,2918,12518,3779,3852,Tag1
38,83,63,6900,9581,6138,3440,3309,6766,2397,1368,Tag1
51,83,56,3065,5856,315,3099,3871,9199,4663,3747,Tag1
13,88,47,5004,13135,9867,4416,4882,7440,1764,3221,Tag1
16,84,41,3223,15943,3111,4027,2164,6519,3911,1996,Tag1
36,78,47,4181,11741,12495,2017,2488,4987,2733,1712,Tag1
81,74,47,6536,18516,2564,4003,1840,15104,6641,5685,Tag1
10,80,43,21141,7750,4267,7003,9198,10186,8237,1532,Tag1
37,78,51,5377,8395,7487,4710,3264,4684,2133,1753,Tag1
29,83,44,4562,11654,3832,5926,4327,6993,4854,11512,Tag1
56,70,69,8644,3200,24219,8351,5289,6171,7924,4029,Tag1
38,69,74,5330,4523,4114,10655,12577,8339,2182,3524,Tag1
57,74,78,2986,4296,9413,4093,2353,5669,3149,3739,Tag1
-270,80,75,6803,6953,3476,1769,4249,8519,6605,1587,Tag1
32,96,44,2992,7378,1074,1484,4028,10986,1568,1672,Tag1
